anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,horas_mensuales_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2025,11,4160820.0668823733,4159367.3150931345,186052937.27057043,44.73106681283916,0.00034915035158622487,186117920.40791735,9678131861.211702,806510988.4343085,Bogotá D.C.,4159367.3150931345,806229394.8391384,12038761982404.93,2894373.36748783,14932.179426187933,0.9996508496484138
2010,13,646900.0423447139,646623.322603664,31021566.85549824,47.97471073358167,0.00042776274994038577,31034842.405029383,1613811805.061528,134484317.08846065,Bolívar,646623.322603664,134426789.70715904,727904909213.8033,1125701.600559124,5414.879807808414,0.9995722372500596
2011,13,697368.9541956572,697268.2972725306,32370583.033742163,46.42485992890333,0.00014433811904146499,32375256.017299186,1683513312.8995576,140292776.07496312,Bolívar,697268.2972725306,140272526.47954935,777371570303.6626,1114881.5647355085,5541.8661787416895,0.9998556618809585
2012,13,677643.5845057556,677052.8210990198,30675484.893423982,45.30737327647535,0.0008717907469995012,30702250.831611037,1596517043.243774,133043086.93698116,Bolívar,677052.8210990198,132927101.20483725,782431827410.1864,1155643.7002065969,5886.172347988534,0.9991282092530005
2013,13,659618.8900563533,659618.8900563533,30200197.35984132,45.78431244936182,0.0,30200197.35984132,1570410262.7117486,130867521.89264572,Bolívar,659618.8900563533,130867521.89264572,776645325469.8566,1177415.2274558197,5934.591824142283,1.0
2014,13,655328.3124304536,654753.235016821,29348971.91853759,44.824477908510985,0.0008775409252498312,29374749.463360652,1527486972.094754,127290581.00789617,Bolívar,654753.235016821,127178878.31366287,760513067953.7458,1161526.24726506,5979.869283624934,0.9991224590747502
2015,13,714401.2321527441,714371.5550481892,30790909.277031165,43.102093104692706,4.154122812105587e-05,30792188.422354765,1601193797.962448,133432816.49687065,Bolívar,714371.5550481892,133427273.5338017,811494145504.8541,1135955.287931521,6081.921064656057,0.9999584587718789
2016,13,683619.3151373923,683379.5176962774,30219664.850882933,44.2209110286999,0.0003507762811919557,30230268.912191384,1571973983.4339519,130997831.95282932,Bolívar,683379.5176962774,130951881.0204927,759486320822.8777,1111368.2824196457,5799.7358640768625,0.999649223718808
2017,13,721236.337314258,721236.337314258,32052893.34473109,44.441595197615456,0.0,32052893.34473109,1666750453.9260166,138895871.1605014,Bolívar,721236.337314258,138895871.1605014,790591466284.0723,1096161.445814113,5691.972408384284,1.0
2018,13,743474.7918268009,743243.0675328398,32253017.512930106,43.39497927641958,0.00031167740521731435,32263073.18386439,1677679805.5609481,139806650.46341234,Bolívar,743243.0675328398,139763075.88936377,841578589289.0823,1132306.0060050914,6021.465855225414,0.9996883225947827
