anio,depto,departamento,pib_miles_millones_2015,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2018,15,Boyacá,23236.7077751753,566618.7979658268,566258.5207800118,24049899.434147846,42.471589480047925,0.0006358369808916464,24065200.978882812,1251390450.9019063,23236707775175.297,41.009419134337854,18568.711115246293,42.47158948004793
2019,15,Boyacá,23732.383798024865,550387.2513943772,550137.6057348934,22888775.491341352,41.60554605381996,0.00045358183506505334,22899162.135324143,1190756431.0368555,23732383798024.863,43.11942861666965,19930.51070684523,41.60554605381996
2021,15,Boyacá,23270.35090533265,405784.0604399958,405532.96424073033,17160351.48411081,42.3155526117087,0.0006187926627605478,17170976.758541428,892890791.4441543,23270350905332.65,57.34663623825039,26061.81083768976,42.3155526117087
2022,15,Boyacá,24835.37666562782,510273.9424686432,509786.22444788617,21261014.440447807,41.70574531211416,0.0009557964461157642,21281355.084005628,1106630464.3682926,24835376665627.82,48.670673923652245,22442.33957521205,41.70574531211416
2023,15,Boyacá,24919.72722798641,518280.7512190068,518280.7512190068,21367849.28327635,41.22832891829136,0.0,21367849.28327635,1111128162.73037,24919727227986.41,48.08152178018325,22427.41032389214,41.22832891829136
2024,15,Boyacá,25177.13652572238,529805.9535491505,529796.1551832374,21422488.13565117,40.43534088736809,1.849425407063343e-05,21422884.335917003,1113989985.4676843,25177136525722.38,47.52142998216927,22600.864329271604,40.43534088736809
2010,17,Caldas,10675.32742860875,392289.33006841835,392000.6324404078,18794652.59136014,47.94546497120082,0.0007359303602781919,18808494.33337119,978041705.3353018,10675327428608.75,27.212892654375505,10915.0022646007,47.94546497120082
2011,17,Caldas,10695.99755916757,392140.8848726636,391956.7351199289,19227263.890361473,49.05455670886332,0.00046960100269699545,19236297.27484992,1000287458.2921959,10695997559167.57,27.27590509375422,10692.923789556444,49.05455670886333
2012,17,Caldas,10777.088071359862,406426.09056768485,406134.9455655842,19425199.76566367,47.829422160686285,0.0007163541142105601,19439125.062879115,1010834503.269714,10777088071359.861,26.51672301920066,10661.575199995212,47.829422160686285
2013,17,Caldas,11462.382399886874,401159.16715693,400872.8196664147,19225951.546417616,47.96022729207843,0.0007138001919405612,19239684.837147247,1000463611.5316569,11462382399886.873,28.573153347391628,11457.070769759004,47.96022729207843
2014,17,Caldas,12106.336467296247,417250.13007695647,417171.1640890213,19739629.293107484,47.31781818192782,0.00018925335726227566,19743365.79136716,1026655021.1510923,12106336467296.246,29.014578054327714,11792.019926735022,47.31781818192782
2015,17,Caldas,12513.501744755558,431007.75488342496,430832.1023065257,20455241.884324152,47.4784533808272,0.0004075392493733121,20463581.597007688,1064106243.0443997,12513501744755.559,29.033124353273173,11759.635681635065,47.4784533808272
2016,17,Caldas,12821.068783831432,434533.5704444661,434472.5175680921,20634002.2527705,47.492076986288694,0.00014050209357019394,20636901.780675486,1073118892.5951252,12821068783831.432,29.505358517449643,11947.482121786357,47.492076986288694
2017,17,Caldas,13043.346698233452,440344.9758737052,440139.80986922537,20178165.510750655,45.84489986658104,0.0004659210748861886,20187571.325682055,1049753708.9354669,13043346698233.451,29.620746035204903,12425.149430012907,45.84489986658104
2018,17,Caldas,13394.76340712194,450151.9054625769,449841.9428183205,20952334.37759888,46.57710271818959,0.0006885734359780571,20966771.539519213,1090272120.054999,13394763407121.94,29.75609620791776,12285.706623816297,46.577102718189586
2019,17,Caldas,13798.051820555198,445288.5637342009,445288.5637342009,20705718.670389853,46.49955187878886,0.0,20705718.670389853,1076697370.8602724,13798051820555.197,30.986764413719488,12815.162546120704,46.499551878788864
2021,17,Caldas,14454.188242439237,371043.28252546693,370818.0485251239,17541879.380944084,47.305894226870606,0.000607028912664842,17552534.276740607,912731782.3905115,14454188242439.236,38.95553139800384,15836.18377414519,47.305894226870606
2022,17,Caldas,15325.480229424333,415216.41125329334,414981.0792652766,19375455.684654873,46.68997371870324,0.0005667694764434072,19386443.328990545,1008095053.1075083,15325480229424.332,36.909620655806336,15202.415865629633,46.68997371870325
2023,17,Caldas,15401.145917755233,430648.076310808,430636.7152490007,19470004.42313247,45.2121329503329,2.6381313263157402e-05,19470518.08096936,1012466940.2104067,15401145917755.232,35.76271848162139,15211.504994478764,45.2121329503329
2024,17,Caldas,15746.930873762623,429957.62929398025,429900.7398882837,19455043.995043352,45.25473484902362,0.00013231398124036176,19457618.510013867,1011796162.5207211,15746930873762.623,36.624378312858774,15563.3431486158,45.25473484902362
2010,18,Caquetá,2573.310348401396,172190.04403764955,172141.48263309392,8388391.47154257,48.72963415460856,0.00028202213912564833,8390757.8510206,436319408.25307125,2573310348401.396,14.944594286988734,5897.767323036065,48.72963415460857
2011,18,Caquetá,2663.5524647288967,178113.07661708834,177991.6162788748,8689322.980637332,48.81872057964248,0.0006819282476079325,8695252.518950088,452153130.98540455,2663552464728.8965,14.954278008767789,5890.819464025509,48.81872057964247
2012,18,Caquetá,2982.219938010385,180928.50610079736,180909.75283894222,8744662.360480923,48.33715276956902,0.00010365012268820362,8745568.839764142,454769579.6677354,2982219938010.385,16.482863879663913,6557.650448363895,48.337152769569016
2013,18,Caquetá,3155.6540053273006,177713.73870010916,177571.179369197,8557136.143624907,48.18989305597472,0.0008021851993825768,8564006.062535696,445328315.2518562,3155654005327.301,17.756950185221456,7086.129260706486,48.18989305597472
2014,18,Caquetá,3323.447940373748,188742.1580393684,188667.38600522344,8930008.236004498,47.332018665681105,0.0003961596864298089,8933547.347320318,464544462.06065655,3323447940373.748,17.60840278026562,7154.2085027370285,47.332018665681105
2015,18,Caquetá,3349.8674772843992,188419.35728416714,188325.23954339506,8983600.31786778,47.702582721514204,0.0004995120571934519,8988089.977182522,467380678.81349117,3349867477284.3994,17.778786243455087,7167.321263233408,47.702582721514204
2016,18,Caquetá,3426.8095046940543,202724.91575901207,202610.82700985824,9277271.709403511,45.7886276183657,0.0005627761576650903,9282495.67665396,482689775.18600595,3426809504694.054,16.90374116996873,7099.403552464982,45.7886276183657
2017,18,Caquetá,3453.8970974461545,206916.49401315025,206885.4748160598,9619180.282809634,46.49519397803045,0.00014991166962485813,9620622.526395397,500272371.3725607,3453897097446.1543,16.692227045112446,6904.033272854845,46.49519397803045
2018,18,Caquetá,3525.1160766339985,213114.93259362754,213075.83661347232,9756215.16976931,45.78752487766811,0.0001834502147710637,9758005.277933285,507416274.4525308,3525116076633.9985,16.540915428745535,6947.187652657317,45.78752487766811
2019,18,Caquetá,3595.8663305674672,207086.71687910456,207079.58887015155,9220647.443853691,44.52707045712488,3.442040639023425e-05,9220964.83321056,479490171.3269491,3595866330567.4673,17.36406074111795,7499.353575102919,44.52707045712487
2021,18,Caquetá,3662.685910575827,142593.7691457844,142428.5813856376,6667350.35270786,46.81188486077409,0.0011584500580661405,6675083.103116261,347104321.3620456,3662685910575.827,25.686156783128343,10552.118441520292,46.81188486077409
2022,18,Caquetá,3764.622416903448,150180.76345014572,149719.92604557672,7051542.450990994,47.09822291018506,0.003068551484105231,7073247.073796736,367808847.8374303,3764622416903.448,25.067274465901612,10235.268778981066,47.09822291018506
2023,18,Caquetá,3815.593053795733,155221.94692061108,154839.46535617486,7137730.179762086,46.097615768326726,0.0024640946207938885,7155361.6679579355,372078806.73381263,3815593053795.733,24.58153070162967,10254.79813615246,46.09761576832672
2024,18,Caquetá,3896.2083901751707,156651.94694931235,156440.18067859873,7156454.95222333,45.74563210794312,0.0013518266120378097,7166142.334136265,372639401.3750858,3896208390175.171,24.871752097890372,10455.706980522395,45.745632107943116
2010,19,Cauca,10527.986557692253,482915.1096216211,482631.8723252806,19639465.643271714,40.692434067088,0.0005865157057570736,19650991.258278392,1021851545.4304764,10527986557692.254,21.800905268715358,10302.853290941708,40.69243406708801
2011,19,Cauca,10924.12890903399,488992.89351547667,488933.15434540453,19970273.3859267,40.8445882805051,0.00012216776739359947,19972713.407732517,1038581097.2020909,10924128909033.99,22.340056581391284,10518.320561064798,40.8445882805051
2012,19,Cauca,11911.127648817639,497557.1407939269,497376.5358022742,20073025.220729034,40.357804954250625,0.00036298341807439183,20080314.04175592,1044176330.1713078,11911127648817.639,23.9392155638881,11407.199440025131,40.357804954250625
2013,19,Cauca,13290.91160137233,498471.5495433232,498394.98953592294,20120626.833376,40.37084492384481,0.00015358952275290605,20123717.625562124,1046433316.5292305,13290911601372.33,26.66333036168033,12701.154857583388,40.37084492384481
2014,19,Cauca,13898.553682667705,510662.2042522689,510628.5640182909,20137845.074194103,39.437365030509255,6.587570745963944e-05,20139171.756381202,1047236931.3318225,13898553682667.705,27.216726765628756,13271.64203901044,39.437365030509255
2015,19,Cauca,14622.036080438851,518882.58847436414,518861.24966050364,20373529.894039344,39.26585365041224,4.1124551747317994e-05,20374367.780781463,1059467124.600636,14622036080438.852,28.179854952217706,13801.311754671575,39.26585365041224
2016,19,Cauca,14975.410181087638,536745.5522223647,536735.0494183428,20636135.083864003,38.44752658919384,1.956756600673959e-05,20636538.8907009,1073100022.3164468,14975410181087.639,27.900389894397442,13955.27897647507,38.44752658919384
2017,19,Cauca,14876.340419595921,548289.2133049099,548038.7056579316,20965730.33878903,38.255929959580584,0.0004568896139106604,20975313.74178617,1090716314.572881,14876340419595.922,27.13228722835191,13639.055564527263,38.255929959580584
2018,19,Cauca,15139.076982949136,570582.5931866079,570497.9238137626,22189561.49223731,38.895078432364336,0.00014839108983755178,22192854.714134946,1154028445.1350172,15139076982949.137,26.532665320895852,13118.460854903728,38.89507843236433
2019,19,Cauca,15614.343442382113,555847.7722853567,555443.2658411845,21648831.98204997,38.975775409328534,0.00072772882134442,21664597.93436965,1126559092.5872219,15614343442382.113,28.09104258560588,13860.208084178415,38.975775409328534
2021,19,Cauca,16097.326233148051,514765.261823874,514504.7537175401,21248141.796158116,41.29824193582323,0.0005060716517872876,21258900.32295974,1105462816.7939065,16097326233148.05,31.271197625327954,14561.617078929852,41.298241935823235
2022,19,Cauca,16946.403871795344,593729.7026402155,593328.1721200943,23723439.41041215,39.98367265394292,0.0006762850474477666,23739494.075289246,1234453691.9150407,16946403871795.344,28.542287502945452,13727.85709402022,39.98367265394292
2023,19,Cauca,17012.028145833985,639628.0630046007,639531.0857444224,24858048.38173567,38.869179209327385,0.00015161508036831695,24861817.80824077,1292814526.02852,17012028145833.984,26.596750720913292,13158.908569889236,38.869179209327385
2024,19,Cauca,17418.488066932117,653618.4184819818,653264.1590091127,24448250.305248104,37.424753781581735,0.0005419973838740599,24461508.378795024,1271998435.6973412,17418488066932.117,26.649322562522446,13693.796767433027,37.424753781581735
2010,20,Cesar,11558.931327489556,353503.7225172694,352512.5327555521,17340979.16738229,49.192518154829116,0.0028039019070551507,17389738.287730448,904266390.9619833,11558931327489.557,32.69818842409751,12782.661661452274,49.192518154829116
2011,20,Cesar,12872.709612456101,371646.07300841936,371434.9856247368,18311221.181019355,49.298590304358946,0.0005679795886818217,18321627.49146594,952724629.5562289,12872709612456.102,34.63701232802877,13511.469330284976,49.298590304358946
2012,20,Cesar,13696.899076784619,384693.74924318935,384132.6425358314,18557571.993980117,48.31032289126299,0.001458580256273545,18584679.240189034,966403320.4898298,13696899076784.62,35.60468321549446,14173.06706877024,48.310322891262985
2013,20,Cesar,13588.262504157838,377634.64872438216,377270.7235627087,18613877.262225956,49.33824996132258,0.0009636964269639225,18631832.692819815,968855300.0266304,13588262504157.838,35.98256290850916,14025.06907252749,49.33824996132258
2014,20,Cesar,14390.724653960997,375681.4254301906,375421.95952125196,17957624.11009072,47.83317452444913,0.000690654079161579,17970035.188196126,934441829.7861986,14390724653960.996,38.30565920974736,15400.3429590193,47.83317452444913
2015,20,Cesar,14570.402494107215,390228.7216468001,390201.4541065588,18652368.69722097,47.80189438281093,6.987579009110068e-05,18653672.137299664,969990951.1395825,14570402494107.215,37.338108872711395,15021.173627433687,47.80189438281093
2016,20,Cesar,15676.321843809406,392542.4653051769,392133.4165080425,18285894.30246745,46.63181849000215,0.001042049799163558,18304968.991728976,951858387.5699067,15676321843809.406,39.93535280729961,16469.17445759031,46.631818490002146
2017,20,Cesar,16122.610931878282,416587.6666263348,416238.26613565156,18665583.86263439,44.843507628275816,0.0008387201990706084,18681252.206203666,971425114.7225906,16122610931878.281,38.70160406438466,16596.86442889878,44.84350762827581
