anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2024,8300.0,207801.98690802543,9049027.024210598,470549405.2589511,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",8300000000000.0,39.94187025590682,17638.955457679036
2025,8283.816181502885,221198.8413751089,9569841.391392114,497631752.35238993,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",8283816181502.885,37.44963639956501,16646.478329294456
2010,40328.0,958476.067441326,46878012.670967884,2437656658.89033,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,40328000000000.0,42.07512463786031,16543.75724034824
2011,42603.0,1046571.958169994,50710478.64091808,2636944889.32774,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,42603000000000.0,40.70718660807079,16156.196579011996
2012,45120.0,1120709.0043851647,54513627.060672894,2834708607.1549907,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,45120000000000.0,40.26022796591467,15916.979927359786
2013,50173.0,1084274.4521720686,52467359.12558999,2728302674.530679,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,50173000000000.0,46.27333965076013,18389.8217996032
2014,54603.0,1154224.2807554083,55561882.07121382,2889217867.703119,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,54603000000000.0,47.30709699181153,18898.886307735767
2015,58042.0,1364046.356883753,65771017.3915544,3420092904.360829,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,58042000000000.0,42.551339774551714,16970.884014873653
2016,60125.0,1359085.474834694,65336186.162323825,3397481680.440839,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,60125000000000.0,44.23930732341395,17696.931331855925
2017,58986.0,1311923.8465886782,62638177.90262649,3257185250.936578,067|068|069,Edificaciones; Obras civiles; Actividades especializadas de construcción,Edificaciones; Obras civiles; Actividades especializadas de construcción,39,F,067; 068; 069,58986000000000.0,44.96145119503543,18109.501135386465
