anio,depto,departamento,ocupados,pib_por_trabajador_millones_2015,ocupados_remuneracion_valida,rem_total_mensual,rem_por_trabajador,share_ocupados_remuneracion_valida
2019,27,Chocó,213202.1022463767,15.670182652537942,212852.40952769783,229184758739.7124,1074964.8165986005,0.9983598064231339
2021,27,Chocó,127009.90199345381,27.920403980767574,126993.96463107641,142291257788.4197,1120316.25530861,0.9998745187412378
2022,27,Chocó,143303.69900274277,25.289471694440998,143301.10390059152,160217200250.59198,1118025.5734189074,0.9999818908920753
2023,27,Chocó,130222.81313351083,28.520122476049323,130222.81313351083,148609049596.07687,1141190.594951405,1.0
2024,27,Chocó,131819.79348657696,28.597452300473012,131819.793486577,152830380407.9742,1159388.7106456188,1.0000000000000002
2010,25,Cundinamarca,902924.6650400647,42.267487278137374,901322.6723504023,1160492555219.0315,1285259.5572494832,0.9982257736977522
2011,25,Cundinamarca,916011.923158216,45.33093224754013,912923.8500483762,1207061103412.484,1317735.143938729,0.9966287850280455
2012,25,Cundinamarca,936699.4093231842,45.94380697249499,935208.0648217734,1299996769205.7158,1387848.3922019696,0.9984078729135868
2013,25,Cundinamarca,950855.6800863887,47.090440197321506,949331.326326362,1517869717752.9932,1596319.7670703183,0.9983968610674038
2014,25,Cundinamarca,965222.6841272218,47.89614736893533,963687.8075106867,1435769760478.1748,1487501.0545120302,0.9984098212342336
2015,25,Cundinamarca,991150.7432435409,48.48419561054081,990069.5626935501,1422751564456.6829,1435454.267834909,0.9989091663832561
2016,25,Cundinamarca,990807.2944562166,50.060843944731815,987492.0925232061,1425539627317.9258,1438765.7774565564,0.9966540396386262
2017,25,Cundinamarca,1001218.54984153,50.34738218189593,1000297.7535689101,1463216778494.9382,1461435.945954589,0.9990803243979391
2018,25,Cundinamarca,987279.3411311205,52.215617764666995,985912.8906844822,1408483236158.8735,1426630.9214423369,0.9986159434420325
2019,25,Cundinamarca,1017674.2075830013,51.97163737825858,1017426.9847391335,1498100334960.1082,1472082.444260948,0.9997570707383309
2021,25,Cundinamarca,1159111.1777365466,47.60702984236213,1158536.244961347,2054339442400.2617,1772340.291301367,0.9995039882400907
2022,25,Cundinamarca,1413964.7766806285,42.12144981491057,1413959.0510514579,2293677477976.287,1622160.265802971,0.9999959506564342
2023,25,Cundinamarca,1495204.7075644536,39.89284018924178,1495204.7075644536,2549400294543.4717,1705051.0084978282,1.0
2024,25,Cundinamarca,1497470.1840930174,40.405698914607,1497261.7825406545,2678912581664.6143,1788958.8788621984,0.9998608309169847
2010,23,Córdoba,598140.0017920486,19.40638001951727,598103.9116103147,559951082222.7015,936153.8779300303,0.9999396626515101
2011,23,Córdoba,597579.2071652996,19.322631986416567,597486.8080037129,577665577657.046,966676.1673273128,0.9998453775491537
2012,23,Córdoba,614208.8351982338,20.650387597290393,614202.6762299149,603136597148.5853,981973.170336967,0.9999899725175445
2013,23,Córdoba,638239.8959845025,20.590003397135384,638131.8293484992,741514346981.2672,1161811.3371578895,0.9998306802243432
2014,23,Córdoba,631624.0728066363,21.664435551476902,631624.0728066363,729432553850.7263,1154852.3643335437,1.0
2015,23,Córdoba,688851.2853812499,19.825131476055923,688851.2853812499,680738835345.9081,988223.2200077091,1.0
2016,23,Córdoba,681287.1612159385,20.15508968180724,681254.6534406389,739436048616.0112,1085351.50918783,0.9999522847674958
2017,23,Córdoba,717600.8775971008,19.39838032650873,717600.8775971007,763050419001.2566,1063335.4038756813,0.9999999999999999
2018,23,Córdoba,733491.9705589513,19.353364236111485,733491.9705589514,741066642490.0443,1010326.864144567,1.0000000000000002
2019,23,Córdoba,714653.0130086724,20.67343478546209,714632.4698104642,768301669619.1323,1075069.5171417529,0.9999712543040689
2021,23,Córdoba,717622.3886015376,21.50355060581605,717622.3886015376,717148265809.3899,999339.3143808241,1.0
2022,23,Córdoba,716490.8287560145,23.012657919181336,716461.12144502,645213224217.8853,900518.4690753365,0.9999585377651713
