anio,depto,departamento,pib_miles_millones_2015,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,pib_pesos_2015,pib_trabajador,pib_hora
2017,19,Cauca,14876.340419595921,548289.2133049099,548038.7056579316,20965730.33878903,38.255929959580584,0.0004568896139106604,20975313.74178617,1090716314.572881,90893026.21440674,14876340419595.922,27.13228722835191,13.639055564527263
2018,19,Cauca,15139.076982949136,570582.5931866079,570497.9238137626,22189561.49223731,38.895078432364336,0.00014839108983755178,22192854.714134946,1154028445.1350172,96169037.09458476,15139076982949.137,26.532665320895852,13.118460854903727
2019,19,Cauca,15614.343442382113,555847.7722853567,555443.2658411845,21648831.98204997,38.975775409328534,0.00072772882134442,21664597.93436965,1126559092.5872219,93879924.38226849,15614343442382.113,28.09104258560588,13.860208084178415
2021,19,Cauca,16097.326233148051,514765.261823874,514504.7537175401,21248141.796158116,41.29824193582323,0.0005060716517872876,21258900.32295974,1105462816.7939065,92121901.3994922,16097326233148.05,31.271197625327954,14.561617078929853
2022,19,Cauca,16946.403871795344,593729.7026402155,593328.1721200943,23723439.41041215,39.98367265394292,0.0006762850474477666,23739494.075289246,1234453691.9150407,102871140.99292006,16946403871795.344,28.542287502945452,13.727857094020221
2023,19,Cauca,17012.028145833985,639628.0630046007,639531.0857444224,24858048.38173567,38.869179209327385,0.00015161508036831695,24861817.80824077,1292814526.02852,107734543.83571,17012028145833.984,26.596750720913292,13.158908569889237
2024,19,Cauca,17418.488066932117,653618.4184819818,653264.1590091127,24448250.305248104,37.424753781581735,0.0005419973838740599,24461508.378795024,1271998435.6973412,105999869.6414451,17418488066932.117,26.649322562522446,13.693796767433026
2014,20,Cesar,14390.724653960997,375681.4254301906,375421.95952125196,17957624.11009072,47.83317452444913,0.000690654079161579,17970035.188196126,934441829.7861986,77870152.48218322,14390724653960.996,38.30565920974736,15.400342959019302
2015,20,Cesar,14570.402494107215,390228.7216468001,390201.4541065588,18652368.69722097,47.80189438281093,6.987579009110068e-05,18653672.137299664,969990951.1395825,80832579.26163188,14570402494107.215,37.338108872711395,15.021173627433686
2016,20,Cesar,15676.321843809406,392542.4653051769,392133.4165080425,18285894.30246745,46.63181849000215,0.001042049799163558,18304968.991728976,951858387.5699067,79321532.29749222,15676321843809.406,39.93535280729961,16.46917445759031
2017,20,Cesar,16122.610931878282,416587.6666263348,416238.26613565156,18665583.86263439,44.843507628275816,0.0008387201990706084,18681252.206203666,971425114.7225906,80952092.89354922,16122610931878.281,38.70160406438466,16.596864428898783
2018,20,Cesar,16090.234940349326,389292.3896747871,388948.9531631219,17445551.17776386,44.853061143083586,0.0008822071038998569,17460955.35662035,907969678.5442581,75664139.87868817,16090234940349.326,41.332004855761575,17.72111483518557
2019,20,Cesar,16646.45002566045,438458.24496114114,438143.165915997,20475649.574220277,46.73278317924505,0.0007186067288392772,20490374.09492132,1065499452.9359087,88791621.0779924,16646450025660.451,37.965872958178174,15.623142724092753
2021,20,Cesar,14778.482104742114,416789.94119099126,416552.9103810342,18527623.508406464,44.478439705195335,0.0005687056872816232,18538166.268995415,963984645.9877616,80332053.83231346,14778482104742.113,35.457866527469704,15.330619804218058
2022,20,Cesar,15594.363043981533,448083.5718313853,447785.2344722748,20791733.224660873,46.43237789911588,0.0006658074026039129,20805585.737660516,1081890458.358347,90157538.19652891,15594363043981.533,34.802353900735554,14.413994433081804
2023,20,Cesar,15890.31818585795,471891.1698380464,471669.2884043919,21463405.833440483,45.50520112523957,0.0004701961974212798,21473502.59270489,1116622134.8206542,93051844.56838785,15890318185857.95,33.673692583210496,14.230703198813236
2024,20,Cesar,15193.05583498387,466649.8886965541,466630.1892954098,21112485.259486895,45.24457642006785,4.2214520182048965e-05,21113376.5505474,1097895580.6284647,91491298.3857054,15193055834983.871,32.55771875874887,13.838343193154088
2014,27,Chocó,3471.6562487517144,147373.91591592142,147314.3950380726,6114349.293357138,41.50544345497884,0.00040387661194241087,6116819.733787082,318074626.1569283,26506218.84641069,3471656248751.7144,23.556789050325133,10.914596648897435
2015,27,Chocó,3570.631209841738,148479.09775274008,148329.40364094122,6700393.661126352,45.17238994195578,0.001008183064582946,6707155.701916545,348772096.4996603,29064341.37497169,3570631209841.738,24.048039514544023,10.237720407329705
2016,27,Chocó,3765.2208688075475,136778.1611556517,136778.1611556517,5908988.277917822,43.201255434290225,0.0,5908988.277917822,307267390.45172673,25605615.870977227,3765220868807.5474,27.5279389413839,12.253890213576316
