anio,depto,departamento,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2024,5,Antioquia,149162.56286814398,3130339.2561002993,141036645.1965399,7333905550.220076,149162562868144.0,47.6506061052204,20338.762457019635,45.05474763532178
2010,8,Atlántico,26632.75430434173,760919.0698676498,36089875.663816236,1876673534.5184443,26632754304341.73,35.000771250185764,14191.469008580501,47.42932210924023
2011,8,Atlántico,28126.179779351547,840843.0737257728,39697413.291807234,2064265491.1739762,28126179779351.547,33.449974981329795,13625.272475661937,47.21144115025903
2012,8,Atlántico,30066.027063020214,841100.2026149115,39843969.70644728,2071886424.7352586,30066027063020.215,35.74607040819561,14511.426255839284,47.37125206078378
2013,8,Atlántico,31663.831737896304,815295.2415627048,38137221.76113443,1983135531.5789905,31663831737896.305,38.83725811671013,15966.549554323841,46.77719164414046
2014,8,Atlántico,33772.29157519511,757054.86887733,35583657.48684918,1850350189.3161573,33772291575195.11,44.61009758153663,18251.83782518297,47.00274570536446
2015,8,Atlántico,35716.29568989337,845442.316008528,38816675.205754064,2018467110.6992114,35716295689893.37,42.24569200476724,17694.762278054157,45.912860606521285
2016,8,Atlántico,36347.380065247504,934004.403009619,41963905.23556473,2182123072.249366,36347380065247.5,38.915641027093926,16656.888205567648,44.929022925743695
2017,8,Atlántico,36779.304586598766,937428.5944082356,42243521.96883298,2196663142.379315,36779304586598.766,39.2342465399364,16743.261120483534,45.06318904801466
2018,8,Atlántico,37609.64597709261,966033.1301276636,43322668.33876341,2252778753.6156974,37609645977092.61,38.93204570750322,16694.780131750325,44.84594470692554
2019,8,Atlántico,38689.99370682553,1069738.2888898475,48783007.0166395,2536716364.865254,38689993706825.53,36.16771887914493,15251.998308798184,45.60274931101654
2021,8,Atlántico,40607.357145230155,990511.3807259536,43582290.70104234,2266279116.4542017,40607357145230.16,40.99635595854406,17918.074102348008,43.9997879369145
2022,8,Atlántico,44372.49262887849,1166496.5446337063,51114007.70805422,2657928400.8188195,44372492628878.49,38.03911193137051,16694.389741728482,43.81839615659096
2023,8,Atlántico,44673.47437505063,1233057.3922895016,55913471.74797009,2907500530.8944445,44673474375050.63,36.22984189900711,15364.906695754782,45.34539275917379
2024,8,Atlántico,45132.440414469056,1209186.9753406516,54377998.03449156,2827655897.793561,45132440414469.055,37.32461673411125,15961.079440283453,44.97071101776647
2010,11,Bogotá D.C.,167408.94535518353,3269608.6969012227,157685767.85210717,8199659928.309572,167408945355183.53,51.20152314062709,20416.571762592142,48.22771850391582
2011,11,Bogotá D.C.,176869.71708896477,3418873.258181581,162073252.03800288,8427809105.97615,176869717088964.78,51.73333543900884,20986.44082523733,47.40545782156483
2012,11,Bogotá D.C.,183103.76718077803,3509967.2281839694,167046341.33113748,8686409749.219149,183103767180778.03,52.166802501889606,21079.338008115246,47.591994588954044
2013,11,Bogotá D.C.,190160.1686253778,3548110.034808426,167875778.16945717,8729540464.811773,190160168625377.78,53.59477771541128,21783.525649706466,47.314140915170725
2014,11,Bogotá D.C.,198995.5951380746,3620902.1725722044,170456716.40212783,8863749252.910646,198995595138074.6,54.957462437244686,22450.499157873754,47.075758548052505
2015,11,Bogotá D.C.,206478.40891632767,3617817.5869811964,170698855.60950276,8876340491.694143,206478408916327.66,57.072642263486465,23261.659363961495,47.18282542043211
2016,11,Bogotá D.C.,210682.96893131113,3535659.2854017583,165830857.31327367,8623204580.29023,210682968931311.12,59.588029254173776,24432.096788340397,46.90238621067534
2017,11,Bogotá D.C.,214483.69005150103,3329229.5413709898,156504099.396453,8138213168.615556,214483690051501.03,64.42442234342778,26355.132952113152,47.00910449449033
2018,11,Bogotá D.C.,221651.98815448463,3406080.6571038486,160744807.5323053,8358729991.679875,221651988154484.62,65.07537855634716,26517.42410331628,47.19348239656332
2019,11,Bogotá D.C.,229313.76178465533,3568694.8330839546,167599753.34547457,8715187173.964678,229313761784655.34,64.25703864022734,26311.972101952786,46.96387928486452
2021,11,Bogotá D.C.,237631.21138542914,3134441.084553535,147266139.4239826,7657839250.047094,237631211385429.12,75.81294558588806,31031.1046792955,46.98322139462352
2022,11,Bogotá D.C.,260391.4394270662,3588029.8763249717,170640626.99749246,8873312603.869608,260391439427066.2,72.57226065624941,29345.459925925607,47.558307171140555
