anio,rama_ptf,sexo,grupo_edad,grupo_educ,horas_pond,ingreso_pond,n
2009,A-B_AgriculturaPesca,Mujer,30-49,2_Medio,1223968.0577614969,2582586993.5234942,283
2009,A-B_AgriculturaPesca,Mujer,30-49,3_Alto,277950.55240805214,2133470500.4087822,114
2009,A-B_AgriculturaPesca,Mujer,50+,1_Bajo,1795034.6757256384,3631443237.0617886,583
2009,A-B_AgriculturaPesca,Mujer,50+,2_Medio,196226.88601966837,695493018.3654723,67
2009,A-B_AgriculturaPesca,Mujer,50+,3_Alto,46869.590049774284,356434546.0092841,28
2009,C_Mineria,Hombre,15-29,1_Bajo,1004441.2888534941,2643233958.5940948,182
2009,C_Mineria,Hombre,15-29,2_Medio,1038446.7031604103,3480513979.176244,234
2009,C_Mineria,Hombre,15-29,3_Alto,257178.8463354242,1991552370.672993,105
2009,C_Mineria,Hombre,30-49,1_Bajo,1704311.226568209,4581575093.002029,329
2009,C_Mineria,Hombre,30-49,2_Medio,841735.394043787,4475808871.419704,304
2009,C_Mineria,Hombre,30-49,3_Alto,486486.9757925501,8936154126.765272,235
2009,C_Mineria,Hombre,50+,1_Bajo,537553.8958257426,1184300645.0407438,151
2009,C_Mineria,Hombre,50+,2_Medio,223215.19844367303,1281600432.8209357,86
2009,C_Mineria,Hombre,50+,3_Alto,53406.72404422255,985345163.0246384,35
2009,C_Mineria,Mujer,15-29,1_Bajo,117409.0542651425,106609002.31501831,21
2009,C_Mineria,Mujer,15-29,2_Medio,132001.26431564282,210399238.33572003,32
2009,C_Mineria,Mujer,15-29,3_Alto,155314.0172997741,1596459865.2434988,51
2009,C_Mineria,Mujer,30-49,1_Bajo,371894.50046891195,335330477.53878415,99
2009,C_Mineria,Mujer,30-49,2_Medio,102443.4618642696,163537686.75875345,36
2009,C_Mineria,Mujer,30-49,3_Alto,62271.3275003985,940830399.3455483,37
2009,C_Mineria,Mujer,50+,1_Bajo,293861.8131285974,277084337.72723925,71
2009,C_Mineria,Mujer,50+,2_Medio,10653.766006509824,15028695.737781096,6
2009,C_Mineria,Mujer,50+,3_Alto,25182.530721756564,685048766.4329256,3
2009,D_Manufactura,Hombre,15-29,1_Bajo,2506599.8262660154,5573115093.129027,796
2009,D_Manufactura,Hombre,15-29,2_Medio,12635760.295677492,31608801387.43522,4127
2009,D_Manufactura,Hombre,15-29,3_Alto,3796456.766750122,16645279552.131407,1164
2009,D_Manufactura,Hombre,30-49,1_Bajo,7525664.436603894,19617151852.98192,2225
2009,D_Manufactura,Hombre,30-49,2_Medio,14938530.223680856,54249953071.43214,4820
2009,D_Manufactura,Hombre,30-49,3_Alto,5233476.021799122,38526633179.443954,1600
2009,D_Manufactura,Hombre,50+,1_Bajo,4722369.289110241,13909573997.946415,1704
2009,D_Manufactura,Hombre,50+,2_Medio,3565649.580403723,14891728991.710924,1272
2009,D_Manufactura,Hombre,50+,3_Alto,1277386.3604118263,15634489934.920147,382
2009,D_Manufactura,Mujer,15-29,1_Bajo,950604.5351294336,1261853644.3771715,371
2009,D_Manufactura,Mujer,15-29,2_Medio,6411739.736059573,13374573815.238918,2273
2009,D_Manufactura,Mujer,15-29,3_Alto,3202867.3390526366,13483498352.025558,1252
2009,D_Manufactura,Mujer,30-49,1_Bajo,4874262.2003858285,8459563216.126832,2008
2009,D_Manufactura,Mujer,30-49,2_Medio,10628824.389382532,25291691281.975597,4313
2009,D_Manufactura,Mujer,30-49,3_Alto,3802120.361760146,25300326534.609837,1344
2009,D_Manufactura,Mujer,50+,1_Bajo,4022870.465167816,6083996342.241678,2134
2009,D_Manufactura,Mujer,50+,2_Medio,2377942.97992278,6186381799.620698,1318
2009,D_Manufactura,Mujer,50+,3_Alto,569543.6929507589,3998426990.279142,246
2009,E_ElectricidadGasAgua,Hombre,15-29,1_Bajo,143649.2889827368,337400575.5867588,54
2009,E_ElectricidadGasAgua,Hombre,15-29,2_Medio,612060.4172802534,1510286557.5997245,245
2009,E_ElectricidadGasAgua,Hombre,15-29,3_Alto,234731.1307400481,1333369738.9273605,167
2009,E_ElectricidadGasAgua,Hombre,30-49,1_Bajo,423695.4061863383,1088344950.5917237,152
2009,E_ElectricidadGasAgua,Hombre,30-49,2_Medio,1027007.4741911796,3262530035.718554,484
2009,E_ElectricidadGasAgua,Hombre,30-49,3_Alto,709795.0686170938,6019764593.6926775,344
2009,E_ElectricidadGasAgua,Hombre,50+,1_Bajo,250554.88067872386,623233524.132902,91
2009,E_ElectricidadGasAgua,Hombre,50+,2_Medio,207417.26986640517,774845907.1280135,99
2009,E_ElectricidadGasAgua,Hombre,50+,3_Alto,123217.36380149065,1234700547.4500756,59
2009,E_ElectricidadGasAgua,Mujer,15-29,1_Bajo,332.0144070095636,642913.0625843158,1
2009,E_ElectricidadGasAgua,Mujer,15-29,2_Medio,104820.85397292631,242150806.7938656,37
